English,French
Let me see.,Laissez-moi voir.
Let me try.,Laisse-moi essayer.
Let me try.,Laissez-moi essayer.
Let me try.,Permettez-moi d'essayer.
Let us out.,Laisse-nous sortir !
Let us out.,Laissez-nous sortir !
Let's chat.,Discutons.
Let's kiss.,Embrassons-nous.
Let's move.,Partons !
Let's move.,Bougeons-nous !
Let's move.,On s'arrache.
Let's move.,On se casse.
Let's move.,On met les bouts.
Let's move.,On se tire.
Let's move.,On file.
Let's move.,On met les voiles.
Let's pray.,Prions !
Let's quit.,Abandonnons.
Let's quit.,Renonçons.
Let's quit.,Arrêtons.
Let's talk.,Discutons.
Let's talk.,Discutons !
Let's vote.,Passons au vote.
Let's vote.,Votons.
Let's vote.,Procédons au vote.
Let's walk.,En route !
Let's work.,Travaillons !
Lighten up.,Relaxe !
Lighten up.,Détends-toi !
Lighten up.,Du calme.
Lighten up.,Tranquille.
Look again.,Regarde encore.
Look again.,Regardez à nouveau.
Look alert.,Soyez vigilants.
Look at it.,Regardez-le !
Look at it.,Regarde-le !
Look at me.,Regarde-moi.
Look at us.,Regardez-nous.
Look it up.,Cherche-le !
Look there.,Regarde là !
Love hurts.,L'amour blesse.
Love hurts.,L'amour fait mal.
Love lasts.,L'amour dure.
Mama cried.,Maman a pleuré.
Mama cried.,Maman pleurait.
Never mind!,N'y prête pas attention.
Never mind!,T'inquiète pas.
No comment.,Sans commentaire.
No comment.,Aucun commentaire.
No kidding?,Vraiment ?
No kidding?,C'est vrai ?
No kidding?,Est-ce sérieux ?
No kidding?,Vrai ?
No kidding?,Sans blague ?
No kidding?,Ah bon ?
No kidding?,Sérieusement ?
No kidding?,Ah vraiment ?
No kidding?,Vraiment ?
No problem!,Aucun problème !
No problem!,Pas de problème !
No problem!,De rien !
No problem!,Aucun problème !
No problem!,Pas de problème !
No problem.,Pas de problème.
No problem.,Aucun problème.
No problem.,Ce n'est rien.
No problem.,Sans problème.
No problem.,Aucun problème !
"Oh, really?",Oh ! Vraiment ?
"Oh, really?",Ah vraiment ?
Once again.,Encore une fois.
Pick it up.,Ramasse-le.
Please eat.,"Mangez, s'il vous plaît."
Please eat.,"Mange, s'il te plaît."
Please sit.,"Asseyez-vous, je vous prie."
Quiet down.,Du calme.
Replace it.,Remplacez-le.
Replace it.,Remplace-le.
Replace it.,Remplace-la.
Replace it.,Remplacez-la.
Run faster.,Cours plus vite !
Run for it!,Sauve-toi !
Run for it!,Sauvez-vous !
Run for it!,Prends tes jambes à ton cou !
Run for it!,Prenez vos jambes à votre cou !
Run for it!,Prenez vos jambes à vos cous !
Run for it!,Taillez-vous !
Run for it!,Taille-toi !
Run for it!,File !
Run for it!,Filez !
Say please.,Dis : « s'il te plaît ».
Say please.,Dites : « s'il vous plaît ».
Scoot over.,Poussez-vous.
Scoot over.,Pousse-toi.
She is old.,Elle est vieille.
She smiled.,Elle a souri.
She's busy.,Elle est occupée.
She's mine.,C'est la mienne.
She's mine.,Elle est à moi.
She's nice.,Elle est gentille.
Sing along.,Chante avec moi !
Sing along.,Chante avec nous !
Smell this.,Sens ça.
Smell this.,Sentez ceci.
Stand back!,Reculez !
Stand back!,Reculez !
Stand back!,Recule-toi !
Stand back!,Reculez-vous !
Start here.,Commencez ici.
Start here.,Commence ici.
Start over.,Recommence.
Start over.,Recommencez.
Stay alert.,Restez sur vos gardes.
Stay alert.,Reste sur tes gardes.
Stay alert.,Restez en alerte.
Stay awake.,Reste debout.
Stay awake.,Reste éveillé.
Stay close.,Reste près.
Stay close.,Restez près.
Stay close.,Reste à proximité.
Stay close.,Restez à proximité.
Stay sharp.,Reste malin !
Stay sharp.,Restez en alerte.
Stay sharp.,Restez vigilants.
Stay sharp.,Restez vigilant.
Stay sharp.,Reste vigilant.
Stay still.,Ne bouge pas.
Stay still.,Pas un geste.
Stay still.,On ne bouge pas.
Stay still.,N'avancez pas.
Step aside.,Écarte-toi !
Step aside.,Écartez-vous !
Step on it!,Dépêche-toi !
Step on it!,Grouille-toi !
Stop lying.,Arrête de mentir.
Stop lying.,Arrêtez de mentir.
Stop there.,Arrête-toi là.
Study hard.,Étudie avec application.
Study hard.,Étudiez avec application.
Study more.,Étudie davantage.
Study more.,Étudiez davantage.
Take a bus.,Prenez un bus.
Take a nap.,Fais un petit somme !
Take cover!,Mets-toi à l'abri !
Take cover!,Mettez-vous à l'abri !
Take cover!,Couvrez-vous !
Take notes.,Prends des notes.
Take notes.,Prenez des notes.
Take these.,Prends ça.
Talk to me!,Parle-moi !
Talk to me!,Parle-moi !
Talk to me!,Parlez-moi !
Talk to me.,Parle avec moi.
Talk to me.,Parlez-moi !
Talk to me.,Parlez avec moi.
Taste this.,Essayez ceci !
Taste this.,Goûte ça.
Taste this.,Goûtez ceci.
That a boy!,C'est bien !
That a boy!,T'es un bon garçon !
That hurts.,Ça fait mal.
That works.,Ça fonctionne.
That's all.,C'est tout.
That's all.,C’est tout.
That's fun.,C'est amusant.
That's fun.,C'est marrant.
That's her.,C'est elle.
That's his.,Ce sont les siens.
That's his.,C'est le sien.
That's his.,C'est la sienne.
That's hot.,C'est chaud.
That's odd!,C’est bizarre !
That's odd.,C'est bizarre.
They agree.,Ils sont d'accord.
They agree.,Elles sont d'accord.
They cheat.,Ils trichent.
They cheat.,Elles trichent.
They voted.,Ils ont voté.
They voted.,Elles ont voté.
They're in.,Ils sont à l'intérieur.
This is it.,Ça y est.
This works.,Ça fonctionne.
Time flies.,Le temps s'enfuit.
Time flies.,Le temps s'envole.
Time flies.,Le temps file.
Time is up.,Le temps est écoulé.
Time is up.,L'heure est passée.
Tom agreed.,Tom a accepté.
Tom agrees.,Tom est d'accord.
Tom bit me.,Tom m'a mordu.
Tom braked.,Tom a freiné.
Tom cheats.,Tom triche.
Tom cooked.,Tom a cuisiné.
Tom cooked.,Tom cuisinait.
Tom cusses.,Tom jure.
Tom dances.,Tom danse.
Tom drinks.,Tom boit.
Tom drives.,Tom conduit.
Tom farted.,Tom a pété.
Tom forgot.,Tom a oublié.
Tom forgot.,Tom oublia.
Tom gasped.,Tom a haleté.
Tom gasped.,Tom a eu le souffle coupé.
Tom goofed.,Tom a fait une gaffe.
Tom helped.,Tom a aidé.
Tom helped.,Tom aida.
Tom hit me.,Tom m'a frappé.
Tom is bad.,Tom est mauvais.
Tom is fat.,Tom est gros.
Tom is fun.,Tom est marrant.
Tom is hot.,Tom est chaud.
Tom is mad.,Tom est fou.
Tom is new.,Tom est nouveau.
Tom is sad.,Tom est triste.
Tom is wet.,Tom est mouillé.
Tom jumped.,Tom sauta.
Tom looked.,Tom a regardé.
Tom looked.,Tom regarda.
Tom moaned.,Tom gémissait.
Tom nodded.,Tom hocha la tête.
Tom obeyed.,Tom obéit.
Tom obeyed.,Tom a obéi.
Tom rested.,Tom se reposait.
Tom rested.,Tom se reposa.
Tom saw it.,Tom l'a vu.
Tom saw it.,Tom la voyait.
Tom saw it.,Tom le voyait.
Tom saw me.,Tom m'a vu.
Tom saw us.,Tom nous a vus.
Tom saw us.,Tom nous voyait.
Tom sighed.,Tom soupira.
Tom smiled.,Tom sourit.
Tom snores.,Tom ronfle.
Tom sobbed.,Tom sanglotait.
Tom stayed.,Tom est resté.
Tom stinks.,Tom pue.
Tom talked.,Tom a parlé.
Tom talked.,Tom parlait.
Tom winced.,Tom a fait la grimace.
Tom winced.,Tom a grimacé.
Tom winced.,Tom grimaça.
Tom winced.,Tom a fait une grimace.
Tom yawned.,Tom bailla.
Tom yelled.,Tom cria.
Tom yelled.,Tom hurlait.
Tom yelled.,Tom hurla.
Tom'll cry.,Tom va pleurer.
Tom'll pay.,Tom paiera.
Tom's busy.,Tom a à faire.
Tom's dead.,Tom est mort.
Tom's deaf.,Tom est sourd.
Tom's died.,Tom est mort.
Tom's fast.,Tom est rapide.
Tom's free.,Tom est libre.
Tom's free.,Tom est disponible.
Tom's glad.,Tom est content.
Tom's glad.,Tom est heureux.
Tom's glad.,Tom est joyeux.
Tom's gone.,Tom est parti.
Tom's here.,Tom est là.
Tom's here.,Tom est ici.
Tom's home.,Tom est chez lui.
Tom's home.,Tom est à la maison.
Tom's hurt.,Tom est blessé.
Tom's left.,Tom est parti.
Tom's left.,Tom partit.
Tom's mean.,Tom est méchant.
Tom's safe.,Tom est en sécurité.
Tom's weak.,Tom est faible.
Tom's well.,Tom va bien.
Try harder.,Essayez de faire mieux.
Try harder.,Essaie de faire mieux.
Turn it up.,Monte-le.
Turn it up.,Montez-le.
Turn it up.,Augmente-le.
Turn it up.,Augmentez-le.
Turn right.,Virez à droite.
Turn right.,Prenez à droite.
Unscrew it.,Dévissez-le.
Unscrew it.,Dévisse-le.
Wait a bit.,Attends une seconde !
Wait a bit.,Attends un peu.
Wait a sec.,Attends une seconde !
Wait a sec.,Attendez une seconde !
War is bad.,La guerre est mauvaise.
War is bad.,"La guerre, c'est mal."
Watch this.,Regardez ça.
Watch this.,Regarde ça.
We all die.,Nous mourons tous.
We all die.,Nous mourons toutes.
We all lie.,Nous mentons tous.
We are men.,Nous sommes des hommes.
We buy CDs.,Nous achetons des CD.
We can pay.,Nous pouvons payer.
We can try.,Nous pouvons essayer.
We can try.,Nous pouvons tenter.
We can win.,Nous pouvons gagner.
We can win.,Nous pouvons l'emporter.
We like it.,Nous l'apprécions.
We made it.,Nous l'avons fait.
We made it.,Nous l'avons accompli.
We made it.,Nous avons réussi.
We must go.,Nous devons y aller.
We must go.,Nous devons partir.
We must go.,Il nous faut y aller.
We must go.,Nous devons nous en aller.
We need it.,Nous en avons besoin.
We saw you.,Nous vous avons vu.
We saw you.,Nous vous avons vue.
We saw you.,Nous vous avons vues.
We saw you.,Nous vous avons vus.
We saw you.,Nous t'avons vu.
We saw you.,Nous t'avons vue.
We want it.,Nous le voulons.
We'll cook.,Nous ferons la cuisine.
We'll cook.,Nous allons cuisiner.
We'll fail.,Nous échouerons.
We'll help.,Nous apporterons de l'aide.
We'll help.,Nous allons aider.
We'll obey.,Nous obéirons.
We'll pass.,Nous réussirons.
We'll swim.,Nous nagerons.
We'll wait.,Nous attendrons.
We'll walk.,Nous marcherons.
We'll work.,Nous travaillerons.
We're back.,Nous sommes de retour.
We're boys.,Nous sommes des garçons.
We're busy.,Nous sommes occupés.
We're busy.,Nous sommes occupées.
We're calm.,Nous sommes calmes.
We're done.,Nous avons fini.
We're done.,Nous avons terminé.
We're done.,Nous en avons fini.
We're done.,Nous en avons terminé.
We're even.,Nous sommes quittes.
We're even.,Nous sommes à égalité.
We're fine.,Nous allons bien.
We're here.,Nous sommes ici.
We're here.,Nous sommes là.
We're home.,Nous sommes chez nous.
We're late.,Nous sommes en retard.
We're lazy.,Nous sommes paresseux.
We're lazy.,Nous sommes fainéantes.
We're lazy.,Nous sommes paresseuses.
We're lost.,Nous sommes perdus.
We're lost.,Nous sommes perdues.
We're rich.,Nous sommes riches.
We're safe.,Nous sommes en sécurité.
We're sunk.,On est foutu.
We're sunk.,Nous sommes foutus.
We're weak.,Nous sommes faibles.
What a day!,Quelle journée !
What is it?,Qu'est-ce que c'est ?
What is it?,C'est quoi ?
What is it?,Qu'est-ce ?
What is it?,Qu'est ce c'est ?
What's new?,Quoi de neuf ?
What's new?,Quoi de nouveau ?
Where am I?,Où suis-je ?
Who are we?,Qui sommes-nous ?
Who are we?,Qui sommes-nous ?
Who cooked?,Qui a cuisiné ?
Who did it?,Qui l'a fait ?
Who did it?,Qui a fait ça ?
Who has it?,Qui l'a ?
Who is Tom?,"C’est qui, Tom ?"
Who phoned?,Qui a téléphoné ?
Who phoned?,Qui est-ce qui a téléphoné ?
Who saw me?,Qui m'a vu ?
Who stayed?,Qui est resté ?
Who talked?,Qui a parlé ?
Who was he?,Qui était-il ?
Who was he?,Qui était-ce ?
Who yelled?,Qui a hurlé ?
Who's here?,Qui est là ?
Who's next?,Qui est le prochain?
Who's next?,Qui est le suivant ?
Who's sick?,Qui est malade ?
Who's that?,Qui est-ce ?
Who's that?,C’est qui ?
Why bother?,À quoi bon ?
Why bother?,Pourquoi s'en soucier ?
Why bother?,À quoi bon ?
You called?,As-tu appelé ?
You can go.,Vous pouvez partir.
You can go.,Tu peux y aller.
You can go.,Tu peux partir.
You can go.,Vous pouvez aller.
You can go.,Tu peux t'en aller.
You can go.,Vous pouvez vous en aller.
You can go.,Vous pouvez y aller.
You decide.,Tu décides.
You decide.,"Toi, décide."
You decide.,"Vous, décidez."
You did it!,C'est toi qui l'as fait !
You did it!,C'est vous qui l'avez fait !
You got me.,Tu m'as eu !
You got me.,Vous m'avez eu !
You may go.,Vous pouvez partir.
You may go.,Tu peux y aller.
You may go.,Tu peux partir.
You may go.,Tu peux t'en aller.
You may go.,Vous pouvez vous en aller.
You may go.,Vous pouvez y aller.
You missed.,Tu as raté ton coup.
You missed.,Tu as loupé ton coup.
You're bad.,Tu es vilain.
You're big.,Tu es grand.
You're big.,Tu es grande.
You're big.,Vous êtes grand.
You're big.,Vous êtes grande.
You're big.,Vous êtes grands.
You're big.,Vous êtes grandes.
You're fun.,T'es marrante.
You're fun.,T'es marrant.
You're odd.,Tu es bizarre.
You're odd.,Vous êtes bizarre.
You're odd.,Vous êtes bizarres.
You're old.,Tu es vieux.
You're old.,Tu es vieille.
You're old.,Vous êtes vieux.
You're old.,Vous êtes vieilles.
You're old.,Vous êtes vieille.
You're sad.,Tu es triste.
You're sad.,Vous êtes triste.
You're shy.,Tu es timide.
You're shy.,Vous êtes timide.
You've won!,Vous avez gagné !
You've won!,Tu as gagné !
You've won.,Vous êtes les vainqueurs !
You've won.,Vous avez gagné !
You've won.,Tu as gagné !
You've won.,Vous l'avez emporté !
All is well.,Tout va bien.
Am I hungry!,J'ai faim !
Am I pretty?,Suis-je jolie ?
Am I stupid?,Suis-je idiot ?
Am I stupid?,Suis-je idiote ?
Am I taller?,Suis-je plus grand ?
Am I taller?,Est-ce que je suis plus grand ?
Anyone home?,Quiconque est-il dans la maison ?
Anyone home?,Quiconque est-il à la maison ?
Anyone home?,Qui que ce soit est-il à la maison ?
Anyone hurt?,Quiconque est-il blessé ?
Anyone hurt?,Qui que ce soit est-il blessé ?
Are we done?,Avons-nous terminé ?
Are we done?,En avons-nous terminé ?
Are we lost?,Sommes-nous perdus ?
Are we lost?,Sommes-nous perdues ?
Are we safe?,Sommes-nous en sécurité ?
Are you Tom?,Êtes-vous Tom ?
Are you Tom?,Est-ce que tu es Tom ?
Are you hot?,As-tu chaud ?
Are you hot?,Avez-vous chaud ?
Are you mad?,Es-tu fou ?
Are you mad?,Êtes-vous fou ?
Are you mad?,Es-tu folle ?
Are you mad?,Êtes-vous folle ?
Are you mad?,Es-tu cinglé ?
Are you mad?,Êtes-vous dingues ?
Are you mad?,Tu es cinglé ?
Are you new?,Tu es nouveau ?
Are you sad?,Es-tu triste ?
Are you shy?,Es-tu timide ?
Ask anybody.,Demande à n'importe qui !
Ask anybody.,Demandez à n'importe qui !
Ask anybody.,Demande à qui que ce soit !
Ask anybody.,Demandez à qui que ce soit !
Be cheerful.,Sois heureux.
Be cheerful.,Sois heureuse.
Be cheerful.,Soyez heureux.
Be cheerful.,Soyez heureuse.
Be cheerful.,Soyez heureuses.
Be creative.,Soyez créatives !
Be creative.,Soyez créatifs !
Be creative.,Soyez créative !
Be creative.,Soyez créatif !
Be creative.,Sois créative !
Be creative.,Sois créatif !
Be discreet.,Sois discret !
Be discreet.,Sois discrète !
Be discreet.,Soyez discret !
Be discreet.,Soyez discrète !
Be discreet.,Soyez discrets !
Be discreet.,Soyez discrètes !
Be friendly.,Soyez amicales !
Be friendly.,Soyez amicaux !
Be friendly.,Soyez amicale !
Be friendly.,Soyez amical !
Be friendly.,Sois amicale !
Be friendly.,Sois amical !
Be generous.,Sois généreux.
Be generous.,Sois généreux !
Be generous.,Sois généreuse !
Be merciful.,Sois clément !
Be merciful.,Sois clémente !
Be merciful.,Soyez clément !
Be merciful.,Soyez cléments !
Be merciful.,Soyez clémente !
Be merciful.,Soyez clémentes !
Be merciful.,Soyez miséricordieuses !
Be merciful.,Soyez miséricordieuse !
Be merciful.,Soyez miséricordieux !
Be merciful.,Sois miséricordieuse !
Be merciful.,Sois miséricordieux !
Be prepared.,Sois préparé !
Be prepared.,Sois préparée !
Be prepared.,Soyez préparé !
Be prepared.,Soyez préparée !
Be prepared.,Soyez préparées !
Be prepared.,Soyez préparés !
Be prepared.,Sois prêt !
Be prepared.,Tiens-toi prêt !
Be prepared.,Sois prête !
Be prepared.,Soyez prêt !
Be prepared.,Soyez prête !
Be prepared.,Soyez prêts !
Be prepared.,Soyez prêtes !
Be prepared.,Tiens-toi prête !
Be prepared.,Tenez-vous prêt !
Be prepared.,Tenez-vous prête !
Be prepared.,Tenez-vous prêts !
Be prepared.,Tenez-vous prêtes !
Be punctual.,Soyez ponctuelles !
Be punctual.,Soyez ponctuelle !
Be punctual.,Soyez ponctuels !
Be punctual.,Soyez ponctuel !
Be punctual.,Sois ponctuel !
Be punctual.,Sois ponctuelle !
Be ruthless.,Soyez impitoyable !
Be ruthless.,Soyez impitoyables !
Be ruthless.,Sois impitoyable !
Be sensible.,Soyez raisonnable !
Be sensible.,Soyez raisonnables !
Be sensible.,Sois raisonnable !
Be specific.,Soyez spécifique.
Be specific.,Sois spécifique.
Be thorough.,Sois minutieux.
Be thorough.,Sois minutieuse.
Be thorough.,Soyez minutieux.
Be thorough.,Soyez rigoureux.
Be watchful.,Sois prudent !
Be watchful.,Sois prudente !
Be watchful.,Soyez prudent !
Be watchful.,Soyez prudente !
Be watchful.,Fais attention.
Be yourself.,Sois toi-même.
Be yourself.,Soyez vous-même.
Beer's good.,La bière est bonne.
Break it up!,Arrêtez !
Bring a hat.,Apportez un chapeau.
Bring a hat.,Apporte un chapeau.
Call my son.,Appelle mon fils.
Call my son.,Appellez mon fils.
Can I begin?,Puis-je commencer ?
Can it wait?,Cela peut-il attendre ?
Can we come?,Pouvons-nous venir ?
Can we help?,Besoin d'aide ?
Can we help?,Pouvons-nous vous aider ?
Can we help?,Pouvons-nous t'aider ?
Can we help?,Pouvons-nous donner un coup de main ?
Can we stop?,Pouvons-nous arrêter ?
Can we talk?,Pouvons-nous parler ?
Can you see?,Arrives-tu à voir ?
Can you see?,Arrivez-vous à voir ?
Can you ski?,Savez-vous faire du ski ?
Can you ski?,Sais-tu faire du ski ?
Can you try?,Pouvez-vous essayer ?
Cancel that.,Annule ça.
Cancel that.,Annulez ça.
Check again.,Revérifie.
Clean it up.,Nettoyez-le.
Clean it up.,Nettoie-le.
Come get it.,Viens le chercher.
Come get me.,Venez me chercher.
Come inside.,Entre.
Come off it.,Laisse tomber.
Come off it.,Arrête ton char.
Come see me.,Viens me voir.
Come see me.,Venez me voir.
Comfort Tom.,Consolez Tom.
Comfort Tom.,Console Tom.
Cook for me.,Cuisine pour moi.
Cook for me.,Cuisinez pour moi.
Count me in.,Tu peux me compter dans le nombre.
Count me in.,Je participe.
Cover it up.,Couvrez-le.
Cover it up.,Camouflez-le.
Deal me out.,Ne compte pas sur moi.
Did Tom eat?,Est-ce que Tom a mangé ?
Did Tom eat?,Tom a-t-il mangé ?
Did Tom try?,Tom a-t-il essayé ?
Did Tom try?,Est-ce que Tom a essayé ?
Did it help?,Ça a aidé ?
Did it help?,Est-ce que ça a aidé ?
Did it help?,Cela a-t-il aidé ?
Did it hurt?,Ça vous a fait mal ?
Did you win?,As-tu vaincu ?
Did you win?,L'avez-vous emporté ?
Did you win?,L'as-tu emporté ?
Do it again!,Fais-le encore une fois !
Do it again!,Refais-le !
Do it again!,Fais-le de nouveau !
Do it again!,Fais-le à nouveau !
Do it again!,Faites-le de nouveau !
Do it again!,Faites-le à nouveau !
Do it again!,Refaites-le !
Do it again!,Recommence !
Do it again!,Recommencez !
Do it again.,Recommence !
Do it again.,Recommencez !
Do it right.,Fais-le comme il faut !
Do it right.,Faites-le comme il faut !
Do you bowl?,Jouez-vous au bowling ?
Do you bowl?,Joues-tu au bowling ?
Do you fish?,Vous pêchez ?
Do you mind?,Je dérange ?
Do your job.,Fais ton boulot.
Don't argue.,Ne discute pas.
Don't argue.,Ne discutez pas.
Don't argue.,Inutile de discuter.
Don't argue.,Pas de discussion.
Don't blink.,Ne cligne pas des yeux.
Don't cheat.,Ne triche pas.
Don't cheat.,Ne trichez pas.
Don't do it!,Ne le fais pas !
Don't do it!,Ne le faites pas !
Don't do it.,Ne le fais pas !
Don't do it.,Ne le faites pas !
Don't fight.,Ne vous battez pas.
Don't gloat.,Ne jubilez pas !
Don't gloat.,Ne jubile pas !
Don't laugh.,Ne ris pas.
Don't laugh.,Ne riez pas.
Don't leave!,Ne t'en va pas !
Don't leave!,Ne pars pas !
Don't leave!,Ne quittez pas !
Don't leave.,Ne pars pas !
Don't leave.,Ne partez pas !
Don't panic!,Ne panique pas !
Don't panic!,Ne paniquez pas !
Don't shoot!,Ne tire pas !
Don't shoot!,Ne tirez pas !
Don't shoot.,Ne tire pas !
Don't shoot.,Ne tirez pas !
Don't shout.,Ne crie pas.
Don't smile.,Ne souris pas.
Don't smile.,Ne souriez pas.
Don't smoke.,Ne fume pas.
Don't smoke.,Ne fumez pas.
Don't speak.,Ne parle pas.
Don't stare.,Ne fixez pas.
Don't stare.,Ne fixe pas.
Don't worry.,T'inquiète pas.
Don't worry.,T'inquiète.
Don't worry.,Ne t'en fais pas.
Don't worry.,Ne vous en faites pas.
Don't worry.,Ne vous inquiétez pas.
Don't worry.,T’inquiète.
Eat with us.,Mange avec nous !
Finish this.,Finis ça.
Finish this.,Finissez ceci.
Finish this.,Finissez ça.
Flip a coin.,Lance une pièce !
Forgive Tom.,Pardonne Tom.
Forgive Tom.,Pardonne Tom !
Forgive Tom.,Pardonnez Tom !
Get changed.,Va te changer.
Get changed.,Allez-vous changer.
Get changed.,Change-toi.
Get changed.,Changez-vous.
Get dressed.,Habille-toi.
Get dressed.,Habillez-vous.
Get over it.,Passe à autre chose.
Get serious.,Sois sérieux.
Get started.,Commencez.
Get started.,Commence.
Get the box.,Prends la boîte.
Get the box.,Prenez la boîte.
Get to work.,Mettez-vous au travail.
Get with it.,Fais avec.
Get with it.,Faites avec.
Give me one.,Donne-m'en une.
Go find Tom.,Va chercher Tom !
Go find out.,Allez voir.
Go find out.,Va voir.
Go find out.,Allez vérifier.
Go find out.,Va vérifier.
Go have fun.,Amuse-toi bien.
Go have fun.,"Vas-y, amuse-toi."
Go help Tom.,Va aider Tom.
Go help Tom.,Allez aider Tom.
Go home now.,"Va chez toi, maintenant."
Go home now.,"Va chez nous, maintenant."
Go home now.,"Va à la maison, maintenant."
Go home now.,"Allez chez vous, maintenant."
Go home now.,"Allez à la maison, maintenant."
Go on ahead.,Continue en avant.
Go sit down.,Va t'asseoir.
Go to sleep.,Va dormir !
Go to sleep.,Endors-toi.
Go to sleep.,Endormez-vous.
Go with Tom.,Va avec Tom.
Go with Tom.,Allez avec Tom.
Grab a seat.,Prends-toi un siège !
Have a beer.,Prends une bière !
Have a look.,Regarde !
Have a look.,Regardez !
Have a look.,Jette un œil !
Have a look.,Jetez un œil !
Have a seat.,Prenez place.
Have a seat.,Prends place.
Have we met?,Nous sommes-nous rencontrés ?
He can come.,Il peut venir.
He can read.,Il peut lire.
He can swim.,Il sait nager.
He chuckled.,Il gloussa.
He chuckled.,Il a gloussé.
He chuckled.,Il riait.
He chuckled.,Il ricanait.
He found it.,Il le trouva.
He found it.,Il l'a trouvé.
He got away.,Il s'en est sorti.
He got away.,Il a filé.
He grew old.,Il devint vieux.
He grew old.,Il est devenu vieux.
He has come!,Il est venu !
He has guts.,Il a des tripes.
He has wine.,Il a du vin.
He helps us.,Il nous aide.
He insisted.,Il a insisté.
He insisted.,Il insista.
He is crazy.,Il est fou.
He is eight.,Il a huit ans.
He is hated.,Il est haï.
He is nasty.,Il est méchant.
He is young.,Il est jeune.
He loves me.,Il m'aime.
He loves us.,Il nous aime.
He needs it.,Il en a besoin.
He resigned.,Il démissionna.
He squinted.,Il loucha.
He squinted.,Il a louché.
He stood up.,Il se mit debout.
He stood up.,Il se dressa.
He stood up.,Il s'est levé.
He stutters.,Il bégaie.
He stutters.,Il bégaye.
He was busy.,Il était occupé.
He's a hunk.,C'est un beau mec.
He's a hunk.,C'est un beau gosse.
He's a jerk.,C'est un pauvre type.
He's a liar.,C'est un menteur.
He's a nerd.,C'est un binoclard.
He's a slob.,C'est un flemmard.
He's asleep.,Il est endormi.
He's coming.,Il arrive.
He's coming.,Il est en train d'arriver.
He's faking.,Il simule.
He's loaded.,Il est blindé.
He's loaded.,Il est pété de thune.
He's loaded.,Il est plein aux as.
He's my age.,Il a mon âge.
He's my son.,C'est mon fils.
He's not in.,Il n'est pas chez lui.
He's not in.,Il n'est pas à l'intérieur.
He's not in.,Il n'est pas là.
He's skinny.,Il est maigre.
He's strong.,Il est puissant.
Hello again.,Re-bonjour.
Help me out.,Aide-moi à sortir.
Help me out.,Aidez-moi à sortir.
Here I come.,J'arrive.
Here I come.,Me voici.
Here she is!,La voilà !
Here we are!,Nous voilà !
Here we are!,Nous voici !
Here we are!,Nous y voilà !
Here we are.,On y est.
Here we are.,Nous y voici.
Here we are.,Nous y voilà !
Here we are.,C’est ici que nous sommes.
"Here, catch!","Ici, attrape !"
How are you?,Comment vas-tu ?
How are you?,Comment allez-vous ?
How are you?,Ça va ?
How are you?,Comment ça va ?
How curious!,Comme c'est curieux !
How is life?,Comment est la vie ?
How strange!,Comme c'est bizarre !
How strange!,Comme c'est étrange !
I adore you.,Je t'adore.
I also went.,J'y suis également allé.
I am a cook.,Je suis cuisinier.
I am a monk.,Je suis un moine.
I am a twin.,J'ai un jumeau.
I am better.,Je vais mieux.
I am better.,Je suis mieux.
I am coming.,J'arrive.
I am taller.,Je suis plus grand.
I apologize.,Je vous prie de m'excuser.
I asked Tom.,J'ai demandé à Tom.
I assume so.,Je le suppose.
I bought it.,Je l'ai acheté.
I buried it.,Je l'ai enterré.
I buried it.,Je l'ai enterrée.
I burned it.,Je l'ai brûlé.
I burned it.,Je l'ai brûlée.
I buy tapes.,J'achète des cassettes.
I came back.,Je suis revenu.
I can dance.,Je sais danser.
I can do it.,Je peux le faire.
I can do it.,Je peux y arriver.
I can do it.,Je peux y parvenir.
I can do it.,J'arrive à le faire.
I can share.,Je peux partager.
I can't eat.,Je ne peux pas manger.
I can't say.,Je ne puis le dire.
I can't say.,Je ne peux le dire.
I can't see.,Je ne vois rien.
I can't see.,Je n'arrive pas à voir.
I can't see.,Je ne parviens pas à voir.
I can't see.,Je suis aveugle.
I can't see.,Je ne vois pas.
I can't see.,Je ne peux pas voir.
I can't see.,Je n’arrive pas à voir.
I can't win.,Je ne peux gagner.
I can't win.,Je ne peux pas gagner.
I can't win.,Je ne puis gagner.
I caught it.,Je l'ai attrapé.
I caught it.,Je l'ai attrapée.
I chose you.,Je te choisis.
I confessed.,J'ai confessé.
I confessed.,Je l'ai confessé.
I could try.,Je pourrais essayer.
I cry a lot.,Je pleure beaucoup.
I cut class.,J'ai séché.
I didn't go.,Je n'y suis pas allé.
I didn't go.,Je n'y suis pas allée.
I didn't go.,Je ne m'y suis pas rendu.
I didn't go.,Je ne m'y suis pas rendue.
I disagreed.,J’ai marqué mon désaccord.
I dozed off.,J'ai piqué du nez.
I drank tea.,Je buvais du thé.
I eat a lot.,Je mange beaucoup.
I eat alone.,Je mange seul.
I eat alone.,Je mange seule.
I eat beans.,Je mange des haricots.
I eat bread.,Je mange du pain.
I eat fruit.,Je mange des fruits.
I exercised.,Je me suis entraîné.
I exercised.,Je me suis entraînée.
I feel blue.,Je me sens déprimé.
I feel blue.,Je me sens déprimée.
I feel cold.,J'ai froid.
I feel fine.,Je me sens bien.
I feel good.,Je me sens bien.
I feel lost.,Je me sens perdu.
